,title,author,text,difficulty,ws,ttl_Chars,avg_wd_length
0,Little Bear,"Minarik, Else Holmelund",b002_LittleBear.txt,1,441,1680,3.8095238095238093
1,Are You My Mother?,"Eastman, P. D.",b003_AreYouMyMother.txt,1,431,1442,3.3457076566125292
2,Green Eggs and Ham,"Seuss, Dr.",b004_GreenEggsAndHam.txt,1,799,2404,3.0087609511889863
3,Put Me in the Zoo,"Lopshire, Robert.",b005_Putmeinthezoo.txt,1,126,385,3.0555555555555554
4,Frog and Toad Together,"Lobel, Arnold.",b006_FrogAndToadTogether.txt,1,1882,7161,3.8049946865037194
5,Owl at Home,"Lobel, Arnold.",b007_OwlAtHome.txt,1,1503,5675,3.775781769793746
6,Hi! Fly Guy,"Arnold, Tedd.",b008_HiFlyGuy.txt,1,82,323,3.9390243902439024
7,A Tree Is a Plant,"Bulla, Clyde Robert.",b009_ATreeIsaPlant.txt,1,481,1871,3.8898128898128896
8,My Five Senses,Aliki.,b010_MyFiveSenses.txt,1,310,1040,3.3548387096774195
9,Starfish,"Hurd, Edith Thacher",b011_Starfish.txt,1,340,1309,3.85
10,A Weed is a Flower: The Life of George Washington Carver,Aliki.,b012_AWeedisaFlower.txt,1,206,871,4.228155339805825
11,“Garden Helpers.”,National Geographic Young Explorers,b016_GardenHelpers.txt,1,72,306,4.25
12,“Wind Power.”,National Geographic Young Explorers,b017_WindPower.txt,1,70,268,3.8285714285714287
13,My Father’s Dragon,"Gannett, Ruth Stiles. ",b018_MyFathersDragon.txt,2,396,1492,3.7676767676767677
14,The Fire Cat,"Averill, Esther. ",b019_TheFireCat.txt,2,568,2200,3.8732394366197185
15,Amos & Boris,"Steig, William",b020_AmosBoris.txt,2,1807,7378,4.083010514665191
16,The Treasure,"Shulevitz, Uri",b021_TheTreasure.txt,2,138,497,3.601449275362319
17,The Stories Julian Tells,"Cameron, Ann",b022_TheStoriesJulianTells.txt,2,678,2550,3.7610619469026547
18,"Sarah, Plain and Tall","MacLachlan, Patricia",b023_SarahPlainandTall.txt,2,8386,33356,3.9775816837586455
19, Henry and Mudge: The First Book of Their Adventures,"Rylant, Cynthia",b024_HenryandMudge.txt,2,816,3334,4.08578431372549
20,Tops and Bottoms,"Stevens, Janet.",b025_TopsandBottoms.txt,2,765,3013,3.938562091503268
21,The Raft,"LaMarche, Jim.",b026_TheRaft.txt,2,1942,7684,3.956745623069001
22, Poppleton in Winter,"Rylant, Cynthia. ",b027_PoppletoninWinter.txt,2,209,960,4.5933014354066986
23,The Lighthouse Family: The Storm,"Rylant, Cynthia. ",b028_TheLighthouseFamilyTheStorm.txt,2,3090,12953,4.191909385113268
24,The One-Eyed Giant (Book One of Tales from the Odyssey),"Osborne, Mary Pope",b029_TheOneEyed.txt,2,402,1711,4.256218905472637
25,Cowgirl Kate and Cocoa,"Silverman, Erica",b030_CowgirlKateandCocoa.txt,2,273,1030,3.772893772893773
26,A Medieval Feast,Aliki,b031_AMedievalFeast.txt,2,329,1418,4.310030395136778
27,From Seed to Plant,"Gibbons, Gail",b032_FromSeedtoPlant.txt,2,129,552,4.27906976744186
28,Bats: Creatures of the Night,"Milton, Joyce",b033_BatsCreaturesoftheNight.txt,2,147,564,3.836734693877551
29,Throw Your Tooth on the Roof: Tooth Traditions Around the World,"Beeler, Selby",b034_ThrowYourTooth.txt,2,282,1104,3.9148936170212765
30,Martin Luther King and the March on Washington,"Ruffin, Frances E",b036_MartinLutherKingandtheMarchonWashington.txt,2,149,613,4.114093959731544
31, So You Want to Be President?,"St George, Judith",b037_SoYouWanttoBePresident.txt,2,817,3724,4.558139534883721
32,"Boy, Were We Wrong About Dinosaurs","Kudlinski, Kathleen V",b039_BoyWereWeWrongAboutDinosaurs.txt,2,276,1215,4.4021739130434785
33,Bat Loves the Night,"Davies, Nicola",b040_BatLovestheNight.txt,2,264,1135,4.299242424242424
34,Moonshot: The Flight of Apollo 11,"Floca, Brian",b041_MoonshotTheFlightofApollo.txt,2,293,1262,4.30716723549488
35,Where Do Polar Bears Live?,"Thomson, Sarah L",b042_WhereDoPolarBearsLive.txt,2,269,1046,3.8884758364312266
36,Alice’s Adventures in Wonderland,"Carroll, Lewis",b043_AlicesAdventuresinWonderland.txt,3,26503,107233,4.046070256197412
37,The Secret Garden,"Burnett, Frances Hodgson",b044_TheSecretGarden.txt,3,80703,326256,4.042674993494666
38,The Black Stallion,"Farley, Walter",b045_TheBlackStallion.txt,3,317,1361,4.2933753943217665
39,The Little Prince,"Saint-Exupéry, Antoine de",b046_TheLittlePrince.txt,3,16860,67910,4.0278766310794785
40,Tuck Everlasting,"Babbitt, Natalie",b047_TuckEverlasting.txt,3,363,1579,4.349862258953168
41,“Zlateh the Goat.”,"Singer, Isaac Bashevis",b048_latehtheGoat.txt,3,188,752,4.0
42,"M. C. Higgins, the Great","Hamilton, Virginia",b049_MCHigginstheGreat.txt,3,257,1135,4.416342412451362
43,The Birchbark House,"Erdrich, Louise",b050_TheBirchbarkHouse.txt,3,241,1074,4.45643153526971
44,"Bud, Not Buddy","Curtis, Christopher Paul",b051_BudNotBuddy.txt,3,53086,208486,3.927325471875824
45,Where the Mountain Meets the Moon,"Lin, Grace",b052_WheretheMountain.txt,3,4691,19535,4.1643572798976765
46,Discovering Mars: The Amazing Story of the Red Planet,"Berger, Melvin",b053_DiscoveringMarsTheAmaingStoryoftheRedPlanet.txt,3,410,1749,4.265853658536585
47,Hurricanes: Earth’s Mightiest Storms,"Lauber, Patricia",b055_HurricanesEarthsMightiestStorms.txt,3,608,2684,4.4144736842105265
48,Toys!: Amazing Stories Behind Some Great Inventions,"Wulffson, Don",b057_ToysAmaingStories.txt,3,750,3208,4.277333333333333
49,"“Good Pet, Bad Pet.”","Schleichert, Elizabeth",b058_GoodPetBadPet.txt,3,173,640,3.699421965317919
50,“Ancient Mound Builders.”,"Kavash, E. Barrie",b059_AncientMoundBuilders.txt,3,386,1962,5.082901554404145
51,About Time: A First Look at Time and Clocks,"Koscielniak, Bruce",b060_AboutTime.txt,3,227,1099,4.841409691629956
52,England the Land,"Banting, Erinn",b061_EnglandtheLand.txt,3,115,591,5.139130434782609
53,A History of US,"Hakim, Joy",b062_AHistoryofUS.txt,3,251,1051,4.187250996015936
54,My Librarian Is a Camel: How Books Are Brought to Children Around the World,"Ruurs, Margriet",b063_MyLibrarianIsaCamel.txt,3,463,2199,4.749460043196544
55,Horses,"Simon, Seymour",b064_Horses.txt,3,593,2651,4.470489038785835
56,Quest for the Tree Kangaroo:An Expedition to the Cloud Forest of New Guinea,"Montgomery, Sy",b065_QuestfortheTree.txt,3,283,1261,4.455830388692579
57,Volcanoes,"Simon, Seymour",b066_Volcanoes.txt,3,218,962,4.412844036697248
58,We Are the Ship: The Story of Negro League Baseball,"Nelson, Kadir",b067_WeAretheShip.txt,3,235,998,4.246808510638298
59,“Kenya’s Long Dry Season.”,"Cutler, Nellie Gonzalez",b068_KenyasLongDrySeason.txt,3,252,1071,4.25
60,“Seeing Eye to Eye.”,"Hall, Leslie",b069_SeeingEyetoEye.txt,3,601,2576,4.286189683860233
61,“Telescopes.”,"Ronan, Colin A",b070_Telescopes.txt,3,384,1920,5.0
62,“Underground Railroad.”,"Buckmaster, Henrietta",b071_UndergroundRailroad.txt,3,1309,5473,4.18105423987777
63,Little Women,"Alcott, Louisa May",b072_LittleWomen.txt,4,13085,53132,4.060527321360336
64,The Adventures of Tom Sawyer,"Twain, Mark",b073_TheAdventuresofTomSawyer.txt,4,12071,49820,4.127247121199569
65,A Wrinkle in Time,"L’Engle, Madeleine",b074_AWrinkleinTime.txt,4,9329,39289,4.2114910494158
66,The Dark Is Rising,"Cooper, Susan",b075_TheDarkIsRising.txt,4,306,1296,4.235294117647059
67,Dragonwings,"Yep, Laurence",b076_Dragonwings.txt,4,265,1044,3.939622641509434
68,"Roll of Thunder, Hear My Cry","Taylor, Mildred D",b077_RollofThunderHearMyCry.txt,4,20796,88535,4.257309097903443
69,“The People Could Fly.”,"Hamilton, Virginia",b078_ThePeopleCouldFly.txt,4,1206,4772,3.956882255389718
70,The Tale of the Mandarin Ducks,"Paterson, Katherine",b079_TheTaleoftheMandarinDucks.txt,4,323,1325,4.102167182662539
71,“Eleven.”,"Cisneros, Sandra",b080_Eleven.txt,4,1181,4705,3.983911939034716
72,Black Ships Before Troy: The Story of the Iliad,"Sutcliff, Rosemary",b081_BlackShipsBeforeTroy.txt,4,288,1230,4.270833333333333
73,“Letter on Thomas Jefferson.”,"Adams, John",b082_LetteronThomasJefferson.txt,4,1667,7556,4.532693461307739
74,"Narrative of the Life of Frederick Douglass an American Slave, Written by Himself","Douglass, Frederick",b083_NarrativeFrederickDouglass.txt,4,946,4009,4.23784355179704
75,"“Blood, Toil, Tears and Sweat: Address to Parliament on May 13th, 1940.”","Churchill, Winston",b084_BloodToilTearsandSweat.txt,4,626,2751,4.394568690095847
76,Harriet Tubman: Conductor on the Underground Railroad,"Petry, Ann",b085_HarrietTubman.txt,4,1015,4548,4.480788177339901
77,Travels with Charley: In Search of America,"Steinbeck, John",b086_TravelswithCharley.txt,4,543,2325,4.281767955801105
78,"Preamble and First Amendment to the United States Constitution. (1787, 1791)",United States,b087_PreambleandFirstAmendment.txt,4,99,505,5.101010101010101
79,A Night to Remember,"Lord, Walter",b088_ANighttoRemember.txt,4,2513,11213,4.4619976124154395
80,A Short Walk through the Pyramids and through the World of Art,"Isaacson, Phillip",b089_AShortWalkthroughthePyramids.txt,4,244,1052,4.311475409836065
81,The Great Fire,"Murphy, Jim",b090_TheGreatFire.txt,4,272,1375,5.055147058823529
82,Vincent Van Gogh: Portrait of an Artist,"Greenberg, Jan, and Sandra Jordan",b091_VincentVanGoghPortraitofanArtist.txt,4,276,1251,4.532608695652174
83,This Land Was Made for You and Me: The Life and Songs of Woody Guthrie,"Partridge, Elizabeth",b092_ThisLandWasMadeforYou.txt,4,289,1228,4.249134948096886
84,Words We Live By: Your Annotated Guide to the Constitution,"Monk, Linda R",b093_WordsWeLiveBy.txt,4,267,1324,4.9588014981273405
85,Freedom Walkers: The Story of the Montgomery Bus Boycott,"Freedman, Russell",b094_FreedomWalkers.txt,4,321,1466,4.566978193146418
86,Cathedral: The Story of Its Construction,"Macaulay, David",b095_CathedralTheStoryofItsConstruction.txt,4,302,1413,4.678807947019868
87,The Building of Manhattan,"Mackay, Donald",b096_TheBuildingofManhattan.txt,4,242,1096,4.528925619834711
88,The Number Devil: A Mathematical Adventure,"Enzensberger, Hans Magnus",b097_TheNumberDevilAMathematicalAdventure.txt,4,206,878,4.262135922330097
89,Math Trek: Adventures in the Math Zone,"Peterson, Ivars and Nancy Henderson",b098_MathTrekAdventuresintheMathone.txt,4,341,1676,4.914956011730205
90,Geeks: How Two Lost Boys Rode the Internet out of Idaho,"Katz, John",b099_GeeksHowTwoLostBoysRodetheInternetoutofIdaho.txt,4,246,1126,4.5772357723577235
91,“The Evolution of the Grocery Bag.”,"Petroski, Henry",b100_TheEvolutionoftheGroceryBag.txt,4,361,1783,4.9390581717451525
92,U*X*L Encyclopedia of Science,"“Geology""",b101_UXLEncyclopediaofScience.txt,4,292,1575,5.3938356164383565
93,Astronomy & Space: From the Big Bang to the Big Crunch,"“Space Probe""",b102_AstronomySpaceFromtheBigBangtotheBigCrunch.txt,4,454,2239,4.931718061674009
94,Invasive Plant Inventory,California Invasive Plant Council,b104_InvasivePlantInventory.txt,4,311,1799,5.784565916398714
95,The Odyssey,Homer,b105_TheOdyssey.txt,5,4125,16547,4.0113939393939395
96,Metamorphoses,Ovid,b106_Metamorphoses.txt,5,657,2736,4.164383561643835
97,“The Nose.”,"Gogol, Nikolai",b107_TheNose.txt,5,904,3675,4.0652654867256635
98,"A. M. Candide, Or The Optimist","De Voltaire, F",b108_AMCandideOrTheOptimist.txt,5,765,3553,4.644444444444445
99,Fathers and Sons,"Turgenev, Ivan",b109_FathersandSons.txt,5,581,2524,4.344234079173838
100,“The Gift of the Magi.”,"Henry, O",b110_TheGiftoftheMagi.txt,5,426,1766,4.145539906103286
101,The Metamorphosis,"Kafka, Franz",b111_TheMetamorphosis.txt,5,315,1342,4.26031746031746
102,The Grapes of Wrath,"Steinbeck, John",b112_TheGrapesofWrath.txt,5,616,2453,3.982142857142857
103,Fahrenheit 451,"Bradbury, Ray",b113_Fahrenheit.txt,5,2549,10867,4.26324048646528
104,“I Stand Here Ironing.”,"Olsen, Tillie",b114_IStandHereIroning.txt,5,3359,13715,4.083060434653171
105,Things Fall Apart,"Achebe, Chinua",b115_ThingsFallApart.txt,5,667,2859,4.286356821589205
106,To Kill A Mockingbird,"Lee, Harper",b116_ToKillAMockingbird.txt,5,4779,20375,4.263444235195648
107,The Killer Angels,"Shaara, Michael",b117_TheKillerAngels.txt,5,274,1168,4.262773722627737
108,The Joy Luck Club,"Tan, Amy",b118_TheJoyLuckClub.txt,5,225,947,4.208888888888889
109,In the Time of the Butterflies,"Álvarez, Julia",b119_IntheTimeoftheButterflies.txt,5,301,1249,4.149501661129568
110,The Book Thief,"Zusak, Marcus",b120_TheBookThief.txt,5,328,1423,4.338414634146342
111,“Speech to the Second Virginia Convention.”,"Henry, Patrick",b121_SpeechtotheSecondVirginiaConvention.txt,5,1216,5147,4.232730263157895
112,“Farewell Address.”,"Washington, George",b122_FarewellAddress.txt,5,490,2328,4.751020408163265
113,“Gettysburg Address.”,"Lincoln, Abraham",b123_GettysburgAddress.txt,5,268,1132,4.223880597014926
114,“Second Inaugural Address.”,"Lincoln, Abraham",b124_SecondInauguralAddress.txt,5,701,3141,4.480741797432239
115,“State of the Union Address.”,"Roosevelt, Franklin Delano",b125_StateoftheUnionAddress.txt,5,379,1849,4.878627968337731
116,“I Am an American Day Address.”,"Hand, Learned",b126_IAmanAmericanDayAddress.txt,5,414,1708,4.125603864734299
117,“Remarks to the Senate in Support of a Declaration of Conscience.”,"Smith, Margaret Chase",b127_RemarkstotheSenatein.txt,5,1182,5569,4.711505922165821
118,“Letter from Birmingham Jail.”,"Martin Luther King, Jr  ",b128_LetterfromBirminghamJail.txt,5,444,2105,4.740990990990991
119," “I Have a Dream: Address Delivered at the March on Washington, D.C., for Civil Rights on August 28, 1963.”","Martin Luther King, Jr",b129_IHaveaDreamAddress.txt,5,1556,6801,4.370822622107969
120,I Know Why the Caged Bird Sings,"Angelou, Maya",b130_IKnowWhytheCagedBirdSings.txt,5,273,1152,4.21978021978022
121,"“Hope, Despair and Memory.”","Wiesel, Elie",b131_HopeDespairandMemory.txt,5,363,1609,4.432506887052342
122,“Address to Students at Moscow State University.”,"Reagan, Ronald",b132_AddresstoStudents.txt,5,768,3671,4.779947916666667
123,“A Quilt of a Country.”,"Quindlen, Anna",b133_AQuiltofaCountry.txt,5,550,2596,4.72
124,Bury My Heart at Wounded Knee: An Indian History of the American West,"Brown, Dee",b134_BuryMyHeartatWoundedKnee.txt,5,311,1535,4.935691318327974
125,Son of the Morning Star: Custer and the Little Bighorn,"Connell, Evan S",b135_SonoftheMorningStar.txt,5,306,1459,4.76797385620915
126,"The Story of Art, 16th Edition","Gombrich, E.H. ",b136_TheStoryofArtthEdition.txt,5,287,1245,4.337979094076655
127,Cod: A Biography of the Fish That Changed the World,"Kurlansky, Mark",b137_CodABiographyoftheFishThatChangedtheWorld.txt,5,240,1135,4.729166666666667
128,"Black, Blue and Gray: African Americans in the Civil War","Haskins, Jim",b138_BlackBlue.txt,5,370,1846,4.989189189189189
129,The Longitude Prize,"Dash, Joan",b139_TheLongitudePrie.txt,5,487,2157,4.429158110882957
130,The Illustrated Book of Great Composers,"Thompson, Wendy",b140_TheIllustratedBook.txt,5,399,2065,5.175438596491228
131,Before Columbus: The Americas of 1491,"Mann, Charles C",b141_BeforeColumbus.txt,5,257,1225,4.766536964980545
132,Elements,Euclid,b142_Elements.txt,5,887,3924,4.423900789177001
133,“Classifying the Stars.”,"Cannon, Annie J",b143_ClassifyingtheStars.txt,5,259,1188,4.586872586872587
134,“Amusement Park Physics.”,"Walker, Jearl",b144_AmusementParkPhysics.txt,5,295,1353,4.5864406779661016
135,The Hot Zone: A Terrifying True Story,"Preston, Richard",b145_TheHotoneATerrifyingTrueStory.txt,5,1707,7648,4.4803749267721145
136,Life by the Numbers,"Devlin, Keith",b146_LifebytheNumbers.txt,5,255,1124,4.407843137254902
137,The Race to Save Lord God Bird,"Hoose, Phillip",b147_TheRacetoSaveLordGodBird.txt,5,505,2388,4.7287128712871285
138,The Story of Science: Newton at the Center,"Hakim, Joy",b148_TheStoryofScienceNewtonattheCenter.txt,5,185,802,4.335135135135135
139,Circumference: Eratosthenes and the Ancient Quest to Measure the Globe,"Nicastro, Nicholas",b149_Circumference.txt,5,306,1530,5.0
140,The Canterbury Tales,"Chaucer, Geoffrey",b151_TheCanterburyTales.txt,6,339,1377,4.061946902654867
141,Don Quixote,"de Cervantes, Miguel",b152_DonQuixote.txt,6,2034,8576,4.216322517207473
142,Pride and Prejudice,"Austen, Jane",b153_PrideandPrejudice.txt,6,839,3387,4.036948748510131
143,“The Cask of Amontillado.”,"Poe, Edgar Allan",b154_TheCaskofAmontillado.txt,6,475,2044,4.3031578947368425
144,Jane Eyre,"Brontë, Charlotte",b155_JaneEyre.txt,6,4004,17427,4.352397602397603
145,The Scarlet Letter,"Hawthorne, Nathaniel",b156_TheScarletLetter.txt,6,593,2584,4.357504215851602
146,Crime and Punishment,"Dostoevsky, Fyodor",b157_CrimeandPunishment.txt,6,908,3992,4.39647577092511
147,“A White Heron.”,"Jewett, Sarah Orne",b158_AWhiteHeron.txt,6,961,4108,4.27471383975026
148,"Billy Budd, Sailor","Melville, Herman",b159_BillyBuddSailor.txt,6,427,2011,4.709601873536299
149,“Home.”,"Chekhov, Anton",b160_Home.txt,6,1006,4422,4.395626242544732
150,The Great Gatsby,"Fitzgerald, F. Scott. ",b161_TheGreatGatsby.txt,6,4826,21346,4.423124740986324
151,As I Lay Dying,"Faulkner, William",b162_AsILayDying.txt,6,436,1831,4.1995412844036695
152,A Farewell to,"Hemingway, Ernest",b163_AFarewellto.txt,6,6787,26888,3.961691468984824
153,Their Eyes Were Watching God,"Hurston, Zora Neale",b164_TheirEyesWereWatchingGod.txt,6,1714,6749,3.9375729288214703
154,“The Garden of Forking Paths.”,"Borges, Jorge Luis",b165_TheGardenofForkingPaths.txt,6,400,1829,4.5725
155,The Adventures of Augie March,"Bellow, Saul",b166_TheAdventuresofAugieMarch.txt,6,459,1833,3.9934640522875817
156,The Bluest Eye,"Morrison, Toni",b167_TheBluestEye.txt,6,411,1861,4.527980535279806
157,Dreaming in Cuban,"Garcia, Cristina",b168_DreaminginCuban.txt,6,236,1072,4.5423728813559325
158,The Namesake,"Lahiri, Jhumpa",b169_TheNamesake.txt,6,490,2192,4.473469387755102
159,Common Sense,"Paine, Thomas",b170_CommonSense.txt,6,196,911,4.6479591836734695
160,The Declaration of Independence,"Jefferson, Thomas",b171_TheDeclarationofIndependence.txt,6,1300,6459,4.968461538461538
161,The Bill of Rights (Amendments One through Ten of the United States Constitution).,United States,b172_TheBillofRights.txt,6,483,2240,4.63768115942029
162,Walden,"Thoreau, Henry David",b173_Walden.txt,6,2866,11827,4.126657362177251
163,“Society and Solitude.”,"Emerson, Ralph Waldo",b174_SocietyandSolitude.txt,6,1046,4533,4.333652007648183
164,"“Lee Surrenders to Grant, April 9th, 1865.”","Porter, Horace",b175_LeeSurrenderstoGrantAprilth.txt,6,987,4302,4.358662613981763
165,“The Fallacy of Success.”,"Chesterton, G. K.",b176_TheFallacyofSuccess.txt,6,857,3640,4.247374562427071
166,"The American Language, 4th Edition","Mencken, H. L. ",b177_TheAmericanLanguagethEdition.txt,6,5791,26920,4.648592643757555
167,Black Boy,"Wright, Richard",b178_BlackBoy.txt,6,278,1263,4.543165467625899
168,“Politics and the English Language.”,"Orwell, George",b179_PoliticsandtheEnglishLanguage.txt,6,4004,19041,4.7554945054945055
169,“Abraham Lincoln and the Self-Made Myth.”,"Hofstadter, Richard",b180_AbrahamLincolnandtheSelfMadeMyth.txt,6,298,1396,4.684563758389261
170,“Mother Tongue.”,"Tan, Amy",b181_MotherTongue.txt,6,384,1586,4.130208333333333
171,“Take the Tortillas Out of Your Poetry.”,"Anaya, Rudolfo",b182_TaketheTortillasOutofYourPoetry.txt,6,243,990,4.074074074074074
172,Democracy in America,"Tocqueville, Alexis de",b183_DemocracyinAmerica.txt,6,518,2506,4.837837837837838
173,Declaration of Sentiments by the Seneca Falls Conference,MISSING,b184_DeclarationofSentimentsbytheSenecaFallsConference.txt,6,941,4395,4.6705632306057385
174,"“What to the Slave Is the Fourth of July?: An Address Delivered in Rochester, New York, on 5 July 1852.”","Douglass, Frederick",b185_WhattotheSlaveIstheFourthofJulyAnAddressDeliveredinRochesterNewYorkonJuly.txt,6,2087,9253,4.43363679923335
175,Edited by Daniel J. Boorstin,An American Primer,b186_EditedbyDanielJBoorstin.txt,6,2969,13012,4.382620410912765
176,“Education.”,"Lagemann, Ellen Condliffe",b187_Education.txt,6,366,1881,5.139344262295082
177,What They Fought For 1861–1865,"McPherson, James M",b188_WhatTheyFoughtFor.txt,6,225,1103,4.902222222222222
178,"The American Reader: Words that Moved a Nation, 2nd Edition",MISSING,b189_TheAmericanReaderWordsthatMovedaNationndEdition.txt,6,409,1897,4.638141809290953
179,America’s Constitution: A Biography,"Amar, Akhil Reed",b190_AmericasConstitutionABiography.txt,6,273,1398,5.1208791208791204
180,1776,"McCullough, David",b191_1776.txt,6,320,1371,4.284375
181,Mirror of the World: A New History of Art,"Bell, Julian",b192_MirroroftheWorldANewHistoryofArt.txt,6,354,1786,5.045197740112994
182,FedViews by the Federal Reserve Bank of San Francisco,MISSING,b193_FedViewsbytheFederalReserveBankofSanFrancisco.txt,6,268,1370,5.111940298507463
183,Innumeracy: Mathematical Illiteracy and Its Consequences,"Paulos, John Allen",b194_InnumeracyMathematicalIlliteracyandItsConsequences.txt,6,3136,15130,4.824617346938775
184,The Tipping Point: How Little Things Can Make a Big Difference,"Gladwell, Malcolm",b195_TheTippingPointHowLittleThingsCanMakeaBigDifference.txt,6,732,3372,4.60655737704918
185,“Gravity in Reverse: The Tale of Albert Einstein’s ‘Greatest Blunder.’”,"Tyson, Neil deGrasse",b196_GravityinReverseTheTaleofAlbertEinsteinsGreatestBlunder.txt,6,266,1292,4.857142857142857
186,"Google Hacks: Tips & Tools for Smarter Searching, 2nd Edition","Calishain, Tara, and Rael Dornfest",b197_GoogleHacksTipsToolsforSmarterSearchingndEdition.txt,6,347,1629,4.694524495677234
187,“The Mysteries of Mass.”,"Kane, Gordon",b198_TheMysteriesofMass.txt,6,238,1118,4.697478991596639
188,“Working Knowledge: Electronic Stability Control.”,"Fischetti, Mark",b199_WorkingKnowledgeElectronicStabilityControl.txt,6,199,1007,5.060301507537688
189,“The Coming Merger of Mind and Machine.”,"Kurzweil, Ray",b201_TheComingMergerofMindandMachine.txt,6,2801,14540,5.191003213138165
190,“Untangling the Roots of Cancer.”,"Gibbs, W Wayt",b202_UntanglingtheRootsofCancer.txt,6,3946,19808,5.0197668525088694
191,"“The Cost Conundrum: Health Care Costs in McAllen, Texas.”","Gawande, Atul",b203_TheCostConundrumHealthCareCostsinMcAllenTexas.txt,6,7958,38375,4.822191505403367
